Rank,Title,URL,Performance,Accessibility,Best Practices,SEO,Domain,AccessibilityResult,Accessibility Issues,Total_Issues,High_Severity_Issues,P0_Issues
1,Swiss Medical Network | Your Swiss Private Hospital Group,https://www.swissmedical.net/en,72.0,89.0,79.0,85.0,www.swissmedical.net,Fail,,0,0,0
2,"Swiss Health Clinic, Top-Notch Healthcare Service, in Switzerland",https://swiss-health-clinic.ch/,56.0,84.0,75.0,92.0,swiss-health-clinic.ch,Fail,,0,0,0
3,Hospitals | Swiss Medical Network,https://www.swissmedical.net/en/hospitals,71.0,87.0,79.0,92.0,www.swissmedical.net,Fail,,0,0,0
4,Health care system,https://www.eda.admin.ch/aboutswitzerland/en/home/wirtschaft/soziale-aspekte/gesundheitssystem.html,45.0,96.0,96.0,83.0,www.eda.admin.ch,Pass,,0,0,0
5,Financial situation and current challenges of Swiss hospitals and ...,https://kpmg.com/ch/en/industries/healthcare/market-outlook-hospital-clinic.html,56.0,93.0,96.0,92.0,kpmg.com,Pass,,0,0,0
6,2025 health care providers approved by the chis - cern,https://cds.cern.ch/record/1999135/files/CHIS%20-%20Approved%20Health%20Care%20providers.pdf,,,,,cds.cern.ch,Fail,,0,0,0
7,Clinique La Prairie: Award-Winning Longevity Destination,https://www.cliniquelaprairie.com/,64.0,84.0,96.0,83.0,www.cliniquelaprairie.com,Fail,,0,0,0
8,Swiss TPH | Committed to making the world a healthier place,https://www.swisstph.ch/en/,57.0,87.0,89.0,92.0,www.swisstph.ch,Fail,,0,0,0
9,Hamilton Medical - Intelligent Ventilation since 1983,https://www.hamilton-medical.com/en_US/,78.0,95.0,75.0,92.0,www.hamilton-medical.com,Pass,,0,0,0
10,Balgrist University Hospital,https://www.balgrist.ch/en/,63.0,93.0,79.0,92.0,www.balgrist.ch,Pass,,0,0,0
11,Swiss Medical Weekly,https://smw.ch/,72.0,92.0,100.0,83.0,smw.ch,Pass,,0,0,0
12,Balgrist University Hospital: International patients,https://www.balgrist.ch/en/patients/for-patients/international-patients/,64.0,92.0,79.0,100.0,www.balgrist.ch,Pass,,0,0,0
13,SARS-CoV-2 immunity and reasons for non-vaccination among ...,https://smw.ch/index.php/smw/article/download/3734/5906/21279,,,,,smw.ch,Fail,,0,0,0
14,Schulthess Klinik | Orthopaedic Treatment Zurich,https://www.schulthess-klinik.ch/en,72.0,91.0,96.0,92.0,www.schulthess-klinik.ch,Pass,,0,0,0
15,The healthcare system in Switzerland | Expatica,https://www.expatica.com/ch/healthcare/healthcare-basics/healthcare-in-switzerland-103130/,73.0,89.0,75.0,85.0,www.expatica.com,Fail,,0,0,0
16,Medical Assistance - U.S. Embassy in Switzerland and Liechtenstein,https://ch.usembassy.gov/u-s-citizen-services/local-resources-of-u-s-citizens/doctors/,66.0,87.0,100.0,77.0,ch.usembassy.gov,Fail,,0,0,0
17,Why the elite come to Switzerland for healthcare - SWI swissinfo.ch,https://www.swissinfo.ch/eng/private-clinics_why-the-elite-come-to-switzerland-for-healthcare/42566376,37.0,100.0,5699999999999990.0,92.0,www.swissinfo.ch,Pass,,0,0,0
18,Federal Office of Public Health FOPH,https://www.bag.admin.ch/bag/en/home.html,60.0,86.0,100.0,82.0,www.bag.admin.ch,Fail,,0,0,0
19,Swiss Riviera Medical Center |,https://www.srmc.ch/en/,76.0,81.0,100.0,92.0,www.srmc.ch,Fail,,0,0,0
20,Medical Center Bad Ragaz,https://www.medizin-badragaz.ch/en/,57.0,87.0,96.0,92.0,www.medizin-badragaz.ch,Fail,,0,0,0
22,USZ â€“ UniversitÃ¤tsspital ZÃ¼rich - University Hospital Zurich,https://www.usz.ch/en/,57.0,89.0,100.0,92.0,www.usz.ch,Fail,,0,0,0
23,"165 REHAB, Clinic for Neurorehabilitation and Paraplegiology ...",https://www.herzogdemeuron.com/projects/165-rehab-clinic-for-neurorehabilitation-and-paraplegiology/,89.0,85.0,100.0,100.0,www.herzogdemeuron.com,Fail,,0,0,0
24,Hospitals & Clinics | new-win SW Solutions AG,https://newwin.ch/en/target-audience/hospitals-clinics/,72.0,86.0,79.0,77.0,newwin.ch,Fail,,0,0,0
25,International Ethical Guidelines for Health-related Research ...,https://cioms.ch/wp-content/uploads/2017/01/WEB-CIOMS-EthicalGuidelines.pdf,,,,,cioms.ch,Fail,,0,0,0
26,Wyss Center: Home,https://wysscenter.ch/,62.0,88.0,100.0,77.0,wysscenter.ch,Fail,,0,0,0
27,Open letter calling for the safeguarding of healthcare facilities and ...,https://www.whpa.org/open-letter-safeguarding-healthcare-in-conflict,58.0,97.0,96.0,100.0,www.whpa.org,Pass,,0,0,0
28,Swissmedic,https://www.swissmedic.ch/swissmedic/en/home.html,60.0,75.0,75.0,73.0,www.swissmedic.ch,Fail,,0,0,0
29,Swiss MAM | Department of Biomedical Engineering | University of ...,https://dbe.unibas.ch/en/research/regenerative-surgery/swiss-mam-medical-additive-manufacturing-research-group/,75.0,96.0,75.0,100.0,dbe.unibas.ch,Pass,,0,0,0
30,Healthcare in Switzerland: important information | coverio.ch,https://www.coverio.ch/ch/coverio/en/home/good-to-know/good-to-know/health-system-switzerland.html,70.0,93.0,100.0,100.0,www.coverio.ch,Pass,,0,0,0
31,Local Medical Capacity Building (MCB) - NGO Mercy Ships ...,https://mercyships.ch/en/what-we-do/development-aid/,61.0,95.0,79.0,100.0,mercyships.ch,Pass,,0,0,0
32,Lausanne University Hospital: Home,https://www.lausanneuniversityhospital.com/home,,,,,www.lausanneuniversityhospital.com,Fail,,0,0,0
33,"Neurocenter Bellevue Medical Group, neurology Switzerland",https://www.bmg-swiss.ch/en/,65.0,94.0,96.0,92.0,www.bmg-swiss.ch,Pass,,0,0,0
34,Home - Swiss International Medical Center (SIMC),https://swissimc.com/,63.0,91.0,96.0,100.0,swissimc.com,Pass,,0,0,0
35,Your new medical and surgical ... - Swiss International Health Center,https://swissinternationalhealth.ch/en/,76.0,76.0,100.0,77.0,swissinternationalhealth.ch,Fail,,0,0,0
36,Call for abstracts now open for the 48th World Hospital Congress ...,https://www.hug.ch/en/medias/press-release/call-abstracts-now-open-48th-world-hospital-congress-geneva-2025,57.0,79.0,100.0,85.0,www.hug.ch,Fail,,0,0,0
37,Lucerne Cantonal Hospital (LUKS) Revolutionizes Staff Scheduling ...,https://news.microsoft.com/de-ch/2024/04/22/lucerne-cantonal-hospital-luks-revolutionizes-staff-scheduling-with-ai/,,,,,news.microsoft.com,Fail,,0,0,0
38,Cooperation with healthcare professionals - Roche,https://www.roche.ch/en/sites/pharma/for-patients-and-people-affected/cooperation-with-healthcare-professionals,40.0,95.0,79.0,92.0,www.roche.ch,Pass,,0,0,0
39,Medical tourism in Switzerland: Interdisciplinary exploratory ...,https://www.samw.ch/dam/jcr:676898f8-4854-4645-982e-2f84a4148ba6/samw_medizintourismus_studie_satalkar_elger_2018.pdf,,,,,www.samw.ch,Fail,,0,0,0
40,Rehabilitation Clinic | Clinic Bad Ragaz,https://www.clinic-badragaz.ch/en/,59.0,75.0,96.0,92.0,www.clinic-badragaz.ch,Fail,,0,0,0
41,Faculty of Medicine,https://www.medizin.unibe.ch/index_eng.html,59.0,93.0,100.0,92.0,www.medizin.unibe.ch,Pass,,0,0,0
42,Medical problem? - Grindelwald Tourism,https://grindelwald.swiss/en/service/medical-services.html,58.0,78.0,96.0,92.0,grindelwald.swiss,Fail,,0,0,0
43,Swiss Medical Network | Genolier Innovation Hub,https://www.genolierinnovation.com/en/ecosystem/health-industries/swiss-medical-network,62.0,93.0,75.0,92.0,www.genolierinnovation.com,Pass,,0,0,0
44,Swiss Center For Preventive Medicine | HÃ´pital de La Tour,https://www.la-tour.ch/en/care-services/swiss-center-preventive-medicine,64.0,86.0,75.0,85.0,www.la-tour.ch,Fail,,0,0,0
45,Megatrends in Healthcare: Review for the Swiss National Science ...,https://boris.unibe.ch/169559/,71.0,65.0,82.0,92.0,boris.unibe.ch,Fail,,0,0,0
46,"Hirslanden Group, Switzerland",https://www.hirslanden.ch/en/corporate/home.html,69.0,90.0,93.0,85.0,www.hirslanden.ch,Pass,,0,0,0
47,"Medical Coding in Switzerland: Career, Challenges and Training ...",https://www.just-medical.ch/en/blog/medical-coders,65.0,93.0,79.0,100.0,www.just-medical.ch,Pass,,0,0,0
48,Swiss Olympic Medical Center :: Clinique romande de rÃ©adaptation ...,https://www.crr-suva.ch/rehabilitation-clinic/swiss-olympic-medical-center-122.html,81.0,100.0,96.0,83.0,www.crr-suva.ch,Pass,,0,0,0
49,Lucerne Health - Swiss Health Care,https://www.lucernehealth.com/,76.0,59.0,100.0,75.0,www.lucernehealth.com,Fail,,0,0,0
50,"Emmanouil Alexandros Lazaridis MSc, PhD, MD â€“ MEDICAL ...",https://ch.linkedin.com/in/emmanouil-alexandros-lazaridis-msc-phd-md-91a32540,56.0,100.0,75.0,5799999999999990.0,ch.linkedin.com,Pass,,0,0,0
51,Medical Center Gare de Vevey I Multidisciplinary healthcare facility,https://cmgv.ch/en/,94.0,78.0,96.0,92.0,cmgv.ch,Fail,,0,0,0
52,White Paper â€“ A Research Contribution: International Patient ...,https://www.sip.ch/international-patient-journey-map/,84.0,90.0,100.0,100.0,www.sip.ch,Pass,,0,0,0
53,Master planning for efficient hospital operations | Drees & Sommer ...,https://www.dreso.com/ch/en/sectors/healthcare/master-planning-and-order-definition,68.0,84.0,100.0,92.0,www.dreso.com,Fail,,0,0,0
54,Best 6 Mental health clinics in Switzerland,https://premiumswitzerland.com/en/medical/psychiatry/treatments/mental-health,95.0,94.0,100.0,92.0,premiumswitzerland.com,Pass,,0,0,0
55,Clarunis - University Center for Gastrointestinal and Liver Diseases ...,https://www.clarunis.ch/en/,88.0,85.0,100.0,75.0,www.clarunis.ch,Fail,,0,0,0
56,Jobs in Healthcare,https://www.adecco.com/en-ch/jobs/healthcare,39.0,100.0,100.0,85.0,www.adecco.com,Pass,,0,0,0
57,Emergencies & doctors - Centre d'Accueil de la GenÃ¨ve Internationale,https://www.cagi.ch/en/practical-infos/emergencies-doctors/,61.0,89.0,100.0,100.0,www.cagi.ch,Fail,,0,0,0
58,Gondola Medical Technologies,https://www.gondola-medical.com/,71.0,96.0,100.0,92.0,www.gondola-medical.com,Pass,,0,0,0
59,The Swiss healthcare system: entering a new digital era ...,https://digitalswitzerland.com/the-swiss-healthcare-system-entering-a-new-digital-era/,44.0,87.0,75.0,92.0,digitalswitzerland.com,Fail,,0,0,0
60,Lighting solutions for medical use. Welcome to Derungs Licht.,https://www.derungs.swiss/en/,88.0,100.0,100.0,100.0,www.derungs.swiss,Pass,,0,0,0
61,Health | The United Nations Office at Geneva,https://www.ungeneva.org/en/about/topics/health,56.0,87.0,96.0,85.0,www.ungeneva.org,Fail,,0,0,0
62,Davos hospital & clinics,https://www.davos.ch/en/discover/sports-health-training/davos-hospital-clinics,66.0,86.0,79.0,83.0,www.davos.ch,Fail,,0,0,0
63,Health Center Clinique LÃ©mana: Swiss private clinic,https://lemana.com/,65.0,94.0,96.0,92.0,lemana.com,Pass,,0,0,0
64,Healthcare professions: recognize foreign diplomas | SRC,https://www.redcross.ch/en/our-services/healthcare-professions-recognition-and-registration/recognition-of-foreign-qualifications,51.0,91.0,100.0,92.0,www.redcross.ch,Pass,,0,0,0
65,The electronic patient file â€¢ BiopÃ´le â€¢ Switzerland,https://www.biopole.ch/story/the-electronic-patient-file-story-of-a-collaboration-between-cara-and-swiss-post/,63.0,79.0,100.0,85.0,www.biopole.ch,Fail,,0,0,0
66,International patients | HÃ´pital de La Tour,https://la-tour.ch/international-patients,62.0,87.0,75.0,77.0,la-tour.ch,Fail,,0,0,0
67,"Costs, financing",https://www.bfs.admin.ch/bfs/en/home/statistics/health/costs-financing.html,44.0,90.0,96.0,77.0,www.bfs.admin.ch,Pass,,0,0,0
68,COVID-19: Oral treatments authorized in Switzerland,https://helvident.ch/en/covid-19-oral-and-dental-treatments-authorized-in-switzerland/,58.0,92.0,75.0,100.0,helvident.ch,Pass,,0,0,0
69,MTIP | The European healthcare software investor.,https://www.mtip.ch/,56.0,94.0,79.0,100.0,www.mtip.ch,Pass,,0,0,0
70,Home | Swiss Health Care Atlas,https://www.versorgungsatlas.ch/en,93.0,96.0,100.0,91.0,www.versorgungsatlas.ch,Pass,,0,0,0
71,Doctors & departments | Grand Resort Bad Ragaz,https://www.resortragaz.ch/en/health-and-wellness/doctors-departments,57.0,82.0,93.0,92.0,www.resortragaz.ch,Fail,,0,0,0
72,Swiss Top clinics | World-Class Medical Services | Personalized ...,https://www.swisstopclinics.ch/,71.0,91.0,96.0,100.0,www.swisstopclinics.ch,Pass,,0,0,0
73,Health Campaign 2024: English Landingpage â€“ Vista ...,https://vista.ch/vdp-international,75.0,94.0,79.0,92.0,vista.ch,Pass,,0,0,0
74,"Swiss International Health Center SA, medical center in Geneva ...",https://www.onedoc.ch/en/medical-center/geneva/ep8b/swiss-international-health-center-sa,67.0,85.0,100.0,85.0,www.onedoc.ch,Fail,,0,0,0
75,Case Study: Hospital ClÃ­nic de Barcelona - Logitech VC,https://www.logitech.com/en-ch/business/resource-center/case-study/hospital-clinic.html,28.0,91.0,79.0,85.0,www.logitech.com,Pass,,0,0,0
76,Swiss Memory Centers establish a brain health register - CHUV,https://www.chuv.ch/fr/chuv-home/espace-pro/journalistes/communiques-de-presse/detail/a-national-infrastructure-for-alzheimers-research,80.0,70.0,96.0,85.0,www.chuv.ch,Fail,,0,0,0
77,International Council of Nurses (ICN) | ICN - International Council of ...,https://www.icn.ch/,60.0,96.0,100.0,85.0,www.icn.ch,Pass,,0,0,0
78,Europe Is Struggling To Keep Its Health Systems Afloat - Health ...,https://healthpolicy-watch.news/europe-struggles-to-keep-health-systems-afloat/,78.0,96.0,75.0,100.0,healthpolicy-watch.news,Pass,,0,0,0
79,The Swiss Center for Design and Health SCDH guarantees design ...,https://www.scdh.ch/en/,76.0,94.0,100.0,85.0,www.scdh.ch,Pass,,0,0,0
80,DNDi â€“ Best science for the most neglected,https://dndi.org/,68.0,89.0,96.0,85.0,dndi.org,Fail,,0,0,0
81,SCHILLER: Swiss-designed innovative medical technology,https://www.schiller.ch/en,62.0,82.0,75.0,100.0,www.schiller.ch,Fail,,0,0,0
82,SYRIAN HEALTH CARE RESEARCH METHODOLOGY - UOSSM ...,https://uossm-suisse.org/syrian_health_care_research/,80.0,79.0,96.0,85.0,uossm-suisse.org,Fail,,0,0,0
83,Health | Kanton ZÃ¼rich,https://www.zh.ch/de/migration-integration/willkommen/english/health.html,97.0,94.0,100.0,92.0,www.zh.ch,Pass,,0,0,0
84,All Swiss hospitals an clinics included in the quality-comparison,https://which-hospital.ch/switzerland/,76.0,82.0,96.0,83.0,which-hospital.ch,Fail,,0,0,0
85,Neurological Rehabilitation Clinic | Rehaklinik Zihlschlacht,https://www.rehaklinik-zihlschlacht.ch/en,56.0,83.0,93.0,85.0,www.rehaklinik-zihlschlacht.ch,Fail,,0,0,0
86,Merian Iselin Clinic,https://merianiselin.ch/en,73.0,84.0,82.0,100.0,merianiselin.ch,Fail,,0,0,0
87,Smart healthcare | BearingPoint Switzerland,https://www.bearingpoint.com/en-ch/industries/health-social-care/smart-healthcare/,62.0,97.0,100.0,92.0,www.bearingpoint.com,Pass,,0,0,0
88,Inpatient Mental Health Treatment in Switzerland,https://cliniclesalpes.com/conditions-treated/mental-health/,57.0,91.0,75.0,100.0,cliniclesalpes.com,Pass,,0,0,0
89,Novel approaches to health care,https://www.snf.ch/en/aE56Bt65EWgXhE4G/news/novel-approaches-to-health-care,71.0,86.0,100.0,92.0,www.snf.ch,Fail,,0,0,0
90,Centre for Tropical and Travel Medicine: Travel Healthy,https://travelmedicine.swisstph.ch/en/,57.0,83.0,100.0,100.0,travelmedicine.swisstph.ch,Fail,,0,0,0
91,Accompanied Suicide,http://www.dignitas.ch/index.php?option=com_content&view=article&id=20&lang=en,,,,,www.dignitas.ch,Fail,,0,0,0
92,Global Antibiotic Research and Development Partnership: GARDP,https://gardp.org/,61.0,91.0,96.0,92.0,gardp.org,Pass,,0,0,0
93,Brunei Darussalam- Healthcare and hospital management training ...,https://jliedu.ch/brunei-darussalam-healthcare-and-hospital-management-training-programs-an-incessant-necessity/,55.0,86.0,79.0,92.0,jliedu.ch,Fail,,0,0,0
94,Healthcare Management â€“ James Lind Institute | Public Health ...,https://jliedu.ch/course-tag/healthcare-management/,55.0,94.0,79.0,83.0,jliedu.ch,Pass,,0,0,0
95,Health care providers - Swiss HIV Cohort Study,http://www.shcs.ch/180-health-care-providers,97.0,86.0,72.0,100.0,www.shcs.ch,Fail,,0,0,0
96,Mediation - Swiss HRmed AG,https://swisshrmed.ch/en/mediation/,91.0,85.0,89.0,85.0,swisshrmed.ch,Fail,,0,0,0
97,Medical problem? - Lauterbrunnen Tourism,https://lauterbrunnen.swiss/en/service/guest-information/medical-services.html,59.0,78.0,96.0,92.0,lauterbrunnen.swiss,Fail,,0,0,0
98,Health and insurance | Kanton Basel-Stadt,https://www.bs.ch/en/schwerpunkte/portrait/vivre-bale/health-and-insurance,69.0,91.0,100.0,92.0,www.bs.ch,Pass,,0,0,0
99,Robert Dean SMITH | IHEID,https://www.graduateinstitute.ch/discover-institute/robert-dean-smith,58.0,91.0,5699999999999990.0,85.0,www.graduateinstitute.ch,Pass,,0,0,0
100,Health Services | PwC Switzerland,https://www.pwc.ch/en/industry-sectors/healthservices.html,56.0,71.0,89.0,92.0,www.pwc.ch,Fail,,0,0,0
